PRODUCT_ID,DEPARTMENT_NAME,HEIGHT_INCHES,WIDTH_INCHES,DEPTH_INCHES,WEIGHT_GRAMS
300,Alcohol,8.5,10.63,9.94,4.26E+03
302,Alcohol,8.5,10.63,8,4.26E+03
303,Alcohol,9.1,7.6,5.18,3.48E+03
324,Alcohol,9.14,7.64,5.11,3.38E+03
354,Alcohol,7.92,2.87,2.87,8.01E+02
361,Alcohol,10.57,15.82,4.94,9.02E+03
371,Alcohol,9.75,12.91,7.72,1.13E+04
380,Alcohol,7.31,7.8,7.8,4.58E+03
391,Alcohol,9.75,13.15,13.15,1.13E+04
396,Alcohol,9.75,7.86,13.15,1.13E+04
412,Alcohol,11.16,3.08,,1.17E+03
470,Alcohol,8.41,7.46,,3.28E+03
472,Alcohol,9.14,7.64,5.11,3.41E+03
495,Alcohol,,,,1.75E+03
497,Alcohol,11.93,3.01,,1.29E+03
498,Alcohol,11.83,3.24,,1.42E+03
504,Alcohol,11.88,3.22,,1.15E+03
507,Alcohol,11.88,3.22,,1.17E+03
516,Alcohol,11.78,3.08,,1.26E+03
517,Alcohol,11.96,3.09,,1.29E+03
519,Alcohol,11.88,3.03,,1.25E+03
522,Alcohol,12.34,2.98,,1.31E+03
528,Alcohol,11.78,3.08,,1.57E+03
541,Alcohol,11.88,3.29,,1.29E+03
557,Alcohol,11.75,3.18,,1.24E+03
559,Alcohol,11.76,3.14,,1.21E+03
562,Alcohol,11.76,3.14,,1.32E+03
563,Alcohol,11.88,3.16,,1.25E+03
566,Alcohol,,,,1.25E+03
568,Alcohol,,,,1.25E+03
569,Alcohol,11.88,3.29,,1.45E+03
572,Alcohol,11.88,3.01,,1.25E+03
578,Alcohol,,,,1.25E+03
582,Alcohol,11.88,2.94,,1.22E+03
587,Alcohol,11.88,3.22,,1.29E+03
588,Alcohol,11.88,3.03,,1.25E+03
591,Alcohol,11.79,3.17,3.17,1.25E+03
609,Alcohol,11.75,3.18,,1.23E+03
626,Alcohol,11.76,3.14,,1.21E+03
633,Alcohol,11.63,3.15,,1.25E+03
636,Alcohol,11.73,3.38,,1.26E+03
640,Alcohol,11.93,3,,1.29E+03
646,Alcohol,11.68,3.2,,1.29E+03
651,Alcohol,11.55,3.25,3.22,1.27E+03
656,Alcohol,11.88,3,3,1.37E+03
660,Alcohol,11.53,3.2,,1.22E+03
664,Alcohol,11.76,3.14,,1.21E+03
680,Alcohol,11.84,3.16,,1.35E+03
686,Alcohol,11.88,3.01,,1.25E+03
713,Alcohol,11.8,3.15,,1.39E+03
720,Alcohol,11.68,3.2,,1.32E+03
744,Alcohol,11.92,3.17,,1.14E+03
745,Alcohol,11.68,3.2,,1.17E+03
746,Alcohol,11.73,3.18,,1.22E+03
756,Alcohol,11.67,3.24,,1.25E+03
757,Alcohol,11.63,3.15,,1.20E+03
760,Alcohol,,,,1.25E+03
764,Alcohol,11.88,3.18,3.18,1.29E+03
782,Alcohol,11.68,3.2,,1.26E+03
783,Alcohol,,,,1.25E+03
788,Alcohol,11.51,3.22,3.22,1.27E+03
792,Alcohol,,,,1.25E+03
794,Alcohol,11.88,3.16,3.16,1.25E+03
801,Alcohol,11.63,3.21,,1.21E+03
803,Alcohol,11.68,3.2,,1.25E+03
806,Alcohol,11.83,2.9,,1.15E+03
808,Alcohol,12.44,3.03,,1.21E+03
811,Alcohol,11.83,2.9,,1.15E+03
815,Alcohol,,,,1.25E+03
817,Alcohol,11.76,3.13,3.13,1.20E+03
819,Alcohol,11.7,3.14,,1.29E+03
829,Alcohol,11.43,3,,1.16E+03
831,Alcohol,11.75,3.17,,1.25E+03
841,Alcohol,13.01,2.96,,1.21E+03
853,Alcohol,11.88,3.03,,1.25E+03
869,Alcohol,,,,1.25E+03
872,Alcohol,11.88,3.2,2.94,1.21E+03
879,Alcohol,11.88,3.22,,1.23E+03
891,Alcohol,12.91,3.89,3.89,2.25E+03
893,Alcohol,11.78,3.08,,1.18E+03
900,Alcohol,11.88,3.29,,1.42E+03
